delta,target_r2,mean_structural_kappa,median_structural_kappa,mean_kappa,mean_abs_bias,median_abs_bias,std_abs_bias,mean_bias,coverage,mc_se,mean_se,mean_rmse_m,mean_rmse_l,n_reps,mc_se_bias,mc_se_abs_bias,kappa_times_delta,bias_to_se_ratio
0.0,0.5,2.000384147195177,1.9988739723188584,2.000384147195177,0.013132496533355062,0.011224024089038553,0.00990942453150909,0.00012655816639646277,0.942,0.01646173523172338,0.015845369351829865,0.0,0.0,500,0.0007361911801147343,0.00044316293740716685,0.0,0.007688021014490182
0.0,0.75,3.9883407981683,3.9816803868562944,3.9883407981683,0.022192296971002765,0.019387163646762295,0.0168589134031939,-0.00023922686735352116,0.946,0.02788638793090454,0.027342002204602794,0.0,0.0,500,0.0012471171812086454,0.0007539535279264775,0.0,0.008578625096454413
0.0,0.9,10.003360403660443,9.986478519487331,10.003360403660443,0.039106565976681454,0.03196722523477985,0.03041995011229654,-0.0008004542099160475,0.942,0.04956934166314038,0.04753604863448252,0.0,0.0,500,0.002216808351173886,0.0013604215264649488,0.0,0.0161481710884061
0.0,0.95,20.049592096283327,20.03472572876901,20.049592096283327,0.0550487421699246,0.047223910410874426,0.04002453054710543,0.002849307304546461,0.95,0.06804605140656057,0.06882542986695012,0.0,0.0,500,0.0030431119309102927,0.0017899514214168915,0.0,0.041873220350765995
0.0,0.97,33.38250854565856,33.34967816666684,33.38250854565856,0.06843754317162978,0.05585292597083186,0.05342849094192841,-0.006368217009665843,0.966,0.08664324363656573,0.09014574323090223,0.0,0.0,500,0.0038748036512487407,0.0023893947536276737,0.0,0.0734992913743858
0.0,0.99,100.01438176979862,100.07886560041801,100.01438176979862,0.13280899573747762,0.10658888243354964,0.1019611570320996,0.015072985715089977,0.936,0.16685923362631325,0.15766021686769238,0.0,0.0,500,0.007462171781239104,0.004559841563766108,0.0,0.09033354275644359
0.02,0.5,1.9983994425391172,2.000782797356674,1.9975573801225075,0.012605254845204077,0.010406717209044625,0.009862970881648636,0.00038514476265202305,0.938,0.01601063497529034,0.015863862282850104,0.028225362149111696,0.06675972230207645,500,0.0007160173633536979,0.0004410854670293475,0.04001565594713348,0.024055558274011474
0.02,0.75,4.004662839108424,4.006108984839095,3.999823169696479,0.02124609925899059,0.01926156569224985,0.016210900496252664,0.0029934605815842485,0.95,0.026572840787428314,0.02743601049192376,0.028226069384820165,0.06684011952974558,500,0.0011883735671193766,0.0007249735097221205,0.0801221796967819,0.11265113148912792
0.02,0.9,9.969249204779286,9.971613969679726,9.93288478264341,0.034988543658967336,0.03030850925274642,0.026858915862934287,0.001517319479527746,0.952,0.0441106107364329,0.04735047710144874,0.02821460384269285,0.06684105941614185,500,0.001972686482713921,0.00120116723342937,0.19943227939359454,0.034398061015158986
0.02,0.95,20.067901087364078,20.063317318384176,19.915851929580143,0.054416884650016886,0.04757990771687415,0.04009917017919957,0.0041156971883330225,0.96,0.06751371814754165,0.06890391371964195,0.028231632649433513,0.06674110144274199,500,0.0030193052638332846,0.0017932894072404536,0.40126634636768355,0.060960902484125536
